user_id,latitude,longitude,accuracy,provider,timestamp,address,country,province,city,district,street,adcode,town,location_describe,received_at,ip
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:09,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:29:12.221608,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:19,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:29:22.176345,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:19,,,,,,,,,,2026-04-16T16:29:32.134192,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:39,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:29:42.437045,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:39,,,,,,,,,,2026-04-16T16:29:52.199858,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:29:59,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:30:02.303609,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:09,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:30:12.319684,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:19,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:30:22.263521,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:19,,,,,,,,,,2026-04-16T16:30:32.229468,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:39,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:30:42.609712,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:49,中国上海市嘉定区安亭镇嘉二路,中国,上海市,上海市,嘉定区,嘉二路,310114,安亭镇,在同济大学嘉定校区图书馆附近,2026-04-16T16:30:52.369809,222.66.185.181
default_user,31.293022,121.218486,40.0,network,2026-04-16 16:30:49,,,,,,,,,,2026-04-16T16:31:02.242586,222.66.185.181
